__time,/dynamic_joint_states/header/stamp,/dynamic_joint_states/interface_values.0/values.0,/dynamic_joint_states/interface_values.0/values.1,/dynamic_joint_states/interface_values.0/values.2,/dynamic_joint_states/interface_values.0/values.3,/dynamic_joint_states/interface_values.0/values.4,/dynamic_joint_states/interface_values.0/values.5,/dynamic_joint_states/interface_values.0/values.6,/dynamic_joint_states/interface_values.0/values.7,/dynamic_joint_states/interface_values.0/values.8,/dynamic_joint_states/interface_values.0/values.9,/dynamic_joint_states/interface_values.1/values.0,/dynamic_joint_states/interface_values.2/values.0,/dynamic_joint_states/interface_values.2/values.1,/dynamic_joint_states/interface_values.2/values.2,/dynamic_joint_states/interface_values.2/values.3,/dynamic_joint_states/interface_values.2/values.4,/dynamic_joint_states/interface_values.2/values.5,/dynamic_joint_states/interface_values.2/values.6,/dynamic_joint_states/interface_values.2/values.7,/dynamic_joint_states/interface_values.2/values.8,/dynamic_joint_states/interface_values.2/values.9,/dynamic_joint_states/interface_values.3/values.0,/dynamic_joint_states/interface_values.3/values.1,/dynamic_joint_states/interface_values.3/values.2,/dynamic_joint_states/interface_values.4/values.0,/dynamic_joint_states/interface_values.4/values.1,/dynamic_joint_states/interface_values.4/values.2,Acceleration,Current (Input),Current (Motor),ERPM,Voltage
1662034738.749229,1662034738.749229,2.000000,0.000433,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.190424,-0.177122,-0.468930,0.671387,1.892090,0.002299,-0.003721,-0.610068,0.244141,0.792337,0.003418,0.007813,1.019043,-7.910156,26.953125,34.570313,0.003418,0.000000,0.000000,2.000000,12.000000
1662034738.749229,1662034738.749229,2.000000,0.000433,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.190424,-0.177122,-0.468930,0.671387,1.892090,0.002299,-0.003721,-0.610068,0.244141,0.792337,0.003418,0.007813,1.019043,-7.910156,26.953125,34.570313,0.003418,0.000000,0.000000,2.000000,12.000000
1662034738.759059,1662034738.759059,2.000000,0.000433,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.169551,-0.182687,-0.491075,0.427246,1.953125,0.002424,-0.003877,-0.609923,0.244141,0.792448,0.004395,0.007324,1.009766,-7.910156,26.953125,34.570313,0.004395,0.000000,0.000000,2.000000,12.000000
1662034738.759059,1662034738.759059,2.000000,0.000433,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.169551,-0.182687,-0.491075,0.427246,1.953125,0.002424,-0.003877,-0.609923,0.244141,0.792448,0.004395,0.007324,1.009766,-7.910156,26.953125,34.570313,0.004395,0.000000,0.000000,2.000000,12.000000
1662034738.769059,1662034738.769059,1.000000,0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.138255,-0.211943,-0.508897,0.549316,1.831055,0.002392,-0.004174,-0.609705,0.305176,0.792614,0.005371,0.008789,1.018066,-9.082031,26.953125,34.863281,0.005371,0.000000,0.000000,1.000000,12.000000
1662034738.769059,1662034738.769059,1.000000,0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.138255,-0.211943,-0.508897,0.549316,1.831055,0.002392,-0.004174,-0.609705,0.305176,0.792614,0.005371,0.008789,1.018066,-9.082031,26.953125,34.863281,0.005371,0.000000,0.000000,1.000000,12.000000
1662034738.779049,1662034738.779049,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,75.127177,-0.194817,-0.559777,0.671387,2.197266,0.002836,-0.004326,-0.609627,-0.122070,0.792672,0.002930,0.011230,1.016113,-9.082031,26.953125,34.863281,0.002930,0.000000,0.000000,0.000000,11.900000
1662034738.779049,1662034738.779049,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,75.127177,-0.194817,-0.559777,0.671387,2.197266,0.002836,-0.004326,-0.609627,-0.122070,0.792672,0.002930,0.011230,1.016113,-9.082031,26.953125,34.863281,0.002930,0.000000,0.000000,0.000000,11.900000
1662034738.789202,1662034738.789202,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.104746,-0.233635,-0.627488,0.305176,2.319336,0.003099,-0.004954,-0.609467,0.366211,0.792790,0.003418,0.014160,1.023926,-9.082031,26.953125,34.863281,0.003418,0.000000,0.000000,0.000000,12.000000
1662034738.789202,1662034738.789202,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.104746,-0.233635,-0.627488,0.305176,2.319336,0.003099,-0.004954,-0.609467,0.366211,0.792790,0.003418,0.014160,1.023926,-9.082031,26.953125,34.863281,0.003418,0.000000,0.000000,0.000000,12.000000
1662034738.799055,1662034738.799055,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.083170,-0.239154,-0.536059,0.732422,2.014160,0.002438,-0.004505,-0.609321,0.427246,0.792907,0.002930,0.005859,1.023926,-9.082031,26.953125,34.863281,0.002930,0.000000,0.000000,0.000000,12.000000
1662034738.799055,1662034738.799055,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.083170,-0.239154,-0.536059,0.732422,2.014160,0.002438,-0.004505,-0.609321,0.427246,0.792907,0.002930,0.005859,1.023926,-9.082031,26.953125,34.863281,0.002930,0.000000,0.000000,0.000000,12.000000
1662034738.809040,1662034738.809040,-1.000000,-0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.052140,-0.191134,-0.515463,0.183105,2.014160,0.002551,-0.004063,-0.609109,0.366211,0.793072,0.005371,0.007324,1.020508,-8.789063,26.367188,34.863281,0.005371,0.000000,0.000000,-1.000000,12.000000
1662034738.809040,1662034738.809040,-1.000000,-0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.052140,-0.191134,-0.515463,0.183105,2.014160,0.002551,-0.004063,-0.609109,0.366211,0.793072,0.005371,0.007324,1.020508,-8.789063,26.367188,34.863281,0.005371,0.000000,0.000000,-1.000000,12.000000
1662034738.819067,1662034738.819067,-2.000000,-0.000433,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.029464,-0.194868,-0.440555,0.610352,2.075195,0.002014,-0.003690,-0.608955,0.244141,0.793194,0.001953,0.005371,1.016113,-8.789063,26.367188,34.863281,0.001953,0.000000,0.000000,-2.000000,12.000000
1662034738.819067,1662034738.819067,-2.000000,-0.000433,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.029464,-0.194868,-0.440555,0.610352,2.075195,0.002014,-0.003690,-0.608955,0.244141,0.793194,0.001953,0.005371,1.016113,-8.789063,26.367188,34.863281,0.001953,0.000000,0.000000,-2.000000,12.000000
1662034738.829057,1662034738.829057,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.020127,-0.180050,-0.395194,0.793457,1.770020,0.001779,-0.003346,-0.608892,0.305176,0.793244,0.002930,0.005859,1.015625,-8.789063,26.367188,34.863281,0.002930,0.000000,0.000000,0.000000,12.000000
1662034738.829057,1662034738.829057,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,75.020127,-0.180050,-0.395194,0.793457,1.770020,0.001779,-0.003346,-0.608892,0.305176,0.793244,0.002930,0.005859,1.015625,-8.789063,26.367188,34.863281,0.002930,0.000000,0.000000,0.000000,12.000000
1662034738.839126,1662034738.839126,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.998598,-0.174341,-0.495993,0.244141,2.075195,0.002508,-0.003842,-0.608740,0.244141,0.793356,0.004883,0.013184,1.017090,-8.789063,26.367188,34.863281,0.004883,0.000000,0.000000,0.000000,11.900000
